
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000033                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_1::SimdFloatReduceCmp            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdAes            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdAesMix            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdSha1Hash            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdSha1Hash2            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdSha256Hash            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdSha256Hash2            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdShaSigma2            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdShaSigma3            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdPredAlu            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::Matrix             0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::MatrixMov            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::MatrixOP            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::MemRead            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::MemWrite            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::FloatMemRead            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::FloatMemWrite            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::IprAccess            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::InstPrefetch            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideMaskLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideMaskStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdStridedLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdStridedStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdIndexedLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdIndexedStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdWholeRegisterLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdWholeRegisterStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideFaultOnlyFirstLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideSegmentedLoad            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdUnitStrideSegmentedStore            0                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_1::SimdExt            0                       # Number of instructions issued per FU type, per thread (Count)
